URL,Version,Status,OIDs,Name,Title,Description,Used
http://terminology.hl7.org/CodeSystem/accepting-patients,1.0.0,active,,AcceptingPatients,Accepting Patients,"This code system defines a set of codes that can be used to indicate a practice is accepting new patients.","ValueSet/appointment-type-and-reasons-vs"
http://terminology.hl7.org/CodeSystem/v2-0276,3.0.0,active,"2.16.840.1.113883.18.169",AppointmentReason,appointmentReason,"Code system of concepts used to describe the kind of appointment or the reason why an appointment has been scheduled.  Used in HL7 Version 2.x messaging in the ARQ segment.","ValueSet/appointment-type-and-reasons-vs"
